hex_id,population,pop_20_29,income_index_pln,n_obwody
547,204.0,26.0,3117.4,1
548,226.0,89.0,3129.4,1
549,1309.0,167.0,3127.3,4
550,1077.0,106.0,3127.2999999999997,3
552,161.0,20.0,3062.4,2
553,0.0,0.0,,1
554,2051.0,327.0,3070.032130667967,14
555,4659.0,618.0,3045.4007083065035,12
556,4722.0,701.0,3081.8330368487927,7
557,2663.0,382.0,3046.5372512204276,7
558,2536.0,400.0,3031.545307570978,5
559,3243.0,322.0,3051.419426456984,8
560,2171.0,307.0,3064.605251036389,6
561,734.0,106.0,3078.0470027247957,3
562,1165.0,279.0,3095.054849785408,6
563,1642.0,198.0,3083.7705237515224,12
565,271.0,29.0,3073.0,1
566,873.0,87.0,3080.5099656357393,3
567,2741.0,310.0,3068.1527544691717,19
569,940.0,301.0,3081.9310638297875,4
570,86.0,9.0,3094.0,1
571,552.0,79.0,3120.4,2
572,304.0,39.0,3091.9,1
573,496.0,72.0,3084.9,2
574,2567.0,380.0,3088.596688741722,10
575,1220.0,136.0,3095.283606557377,4
577,631.0,189.0,3129.3999999999996,2
578,641.0,117.0,3134.7648985959445,2
579,1688.0,280.0,3123.6187203791465,6
580,101.0,16.0,3064.4,1
581,352.0,33.0,3064.4,2
582,198.0,33.0,3046.0999999999995,1
583,2633.0,367.0,3069.343942271173,12
584,2742.0,407.0,3051.2387308533916,9
585,1915.0,261.0,3047.0222976501304,6
586,806.0,129.0,3081.547394540943,3
587,1931.0,215.0,3065.410719834283,6
588,2905.0,350.0,3076.716557659209,11
589,376.0,60.0,3084.969680851064,3
590,3132.0,556.0,3086.9224776500637,23
591,836.0,116.0,3089.5,5
592,371.0,55.0,3081.277628032345,3
593,384.0,51.0,3073.0,1
594,884.0,117.0,3078.1452488687783,5
595,1254.0,117.0,3045.0999999999995,5
596,1621.0,220.0,3040.579827267119,12
597,656.0,57.0,3047.731707317073,6
598,228.0,28.0,3094.0,2
599,264.0,21.0,3065.4,1
600,1926.0,253.0,3079.7161993769473,6
601,3173.0,341.0,3110.9401512763943,10
602,1526.0,249.0,3113.1147444298817,4
603,1049.0,172.0,3123.1998093422308,2
604,681.0,118.0,3113.9690161527174,2
605,2909.0,415.0,3115.6149535923,8
606,280.0,79.0,3142.3,1
613,272.0,19.0,3064.3999999999996,4
614,51.0,7.0,3064.4,1
615,659.0,89.0,3068.654779969651,4
616,3586.0,408.0,3064.777216954825,13
617,2028.0,180.0,3069.8579881656806,9
618,3339.0,373.0,3067.0326145552563,9
619,2161.0,222.0,3070.0115224433134,9
620,2186.0,276.0,3079.008783165599,13
621,2670.0,481.0,3075.1923220973786,15
