id,lon,lat
0,19.3272846,51.8065904
1,19.3272195,51.7975966
2,19.3400183,51.8290392
3,19.3399506,51.8200454
4,19.3398829,51.8110517
5,19.3398153,51.8020579
6,19.3397477,51.7930640
7,19.3396801,51.7840702
8,19.3396126,51.7750764
9,19.3395451,51.7660825
10,19.3393428,51.7391009
11,19.3392755,51.7301070
12,19.3392082,51.7211131
13,19.3526944,51.8424928
14,19.3526241,51.8334991
15,19.3525539,51.8245053
16,19.3524837,51.8155116
17,19.3524135,51.8065178
18,19.3523434,51.7975240
19,19.3522733,51.7885302
20,19.3522033,51.7795364
21,19.3521333,51.7705425
22,19.3520633,51.7615487
23,19.3519235,51.7435609
24,19.3518536,51.7345671
25,19.3517838,51.7255731
26,19.3517140,51.7165792
27,19.3516443,51.7075853
28,19.3515746,51.6985914
29,19.3652324,51.8379576
30,19.3651597,51.8289638
31,19.3650870,51.8199701
32,19.3650143,51.8109763
33,19.3649417,51.8019826
34,19.3648691,51.7929888
35,19.3647965,51.7839950
36,19.3647240,51.7750012
37,19.3646515,51.7660073
38,19.3645790,51.7570135
39,19.3645066,51.7480196
40,19.3644343,51.7390258
41,19.3643619,51.7300319
42,19.3642896,51.7210380
43,19.3642174,51.7120441
44,19.3641452,51.7030501
45,19.3640730,51.6940562
46,19.3777679,51.8334210
47,19.3776927,51.8244273
48,19.3776175,51.8154335
49,19.3775424,51.8064398
50,19.3774672,51.7974460
51,19.3773922,51.7884522
52,19.3773171,51.7794584
53,19.3772421,51.7704646
54,19.3771672,51.7614708
55,19.3770923,51.7524770
56,19.3770174,51.7434831
57,19.3769425,51.7344893
58,19.3768677,51.7254954
59,19.3767930,51.7165015
60,19.3767182,51.7075076
61,19.3766436,51.6985137
62,19.3903787,51.8378768
63,19.3903009,51.8288831
64,19.3902232,51.8198894
65,19.3901455,51.8108956
66,19.3900679,51.8019019
67,19.3899903,51.7929081
68,19.3899128,51.7839144
69,19.3898352,51.7749206
70,19.3897578,51.7659268
71,19.3896803,51.7569330
72,19.3896029,51.7479391
73,19.3895256,51.7389453
74,19.3894483,51.7299514
75,19.3893710,51.7209576
76,19.3892938,51.7119637
77,19.3892166,51.7029698
78,19.3891394,51.6939759
79,19.4029116,51.8333376
80,19.4028314,51.8243439
81,19.4027512,51.8153502
82,19.4026711,51.8063564
83,19.4025909,51.7973627
84,19.4025109,51.7883689
85,19.4024308,51.7793752
86,19.4023508,51.7703814
87,19.4022709,51.7613876
88,19.4021910,51.7523938
89,19.4021111,51.7434000
90,19.4020313,51.7344061
91,19.4019515,51.7254123
92,19.4018718,51.7164184
93,19.4017921,51.7074245
94,19.4017124,51.6984306
95,19.4016328,51.6894367
96,19.4154421,51.8287970
97,19.4153594,51.8198033
98,19.4152767,51.8108096
99,19.4151940,51.8018159
100,19.4151114,51.7928221
101,19.4150289,51.7838284
102,19.4149464,51.7748346
103,19.4148639,51.7658409
104,19.4147815,51.7568471
105,19.4146991,51.7478533
106,19.4146168,51.7388594
107,19.4145345,51.7298656
108,19.4144523,51.7208718
109,19.4143700,51.7118779
110,19.4142879,51.7028840
111,19.4142058,51.6938902
112,19.4280552,51.8332487
113,19.4279700,51.8242551
114,19.4278848,51.8152614
115,19.4277996,51.8062677
116,19.4277145,51.7972740
117,19.4276294,51.7882803
118,19.4275444,51.7792865
119,19.4274594,51.7702928
120,19.4273745,51.7612990
121,19.4272896,51.7523052
122,19.4272048,51.7433114
123,19.4271200,51.7343176
124,19.4270352,51.7253238
125,19.4269505,51.7163300
126,19.4268658,51.7073361
127,19.4267812,51.6983422
128,19.4266966,51.6893484
129,19.4407587,51.8466928
130,19.4406709,51.8376991
131,19.4405831,51.8287055
132,19.4404954,51.8197118
133,19.4404077,51.8107182
134,19.4403200,51.8017245
135,19.4402325,51.7927308
136,19.4401449,51.7837371
137,19.4400574,51.7747433
138,19.4399700,51.7657496
139,19.4398825,51.7567558
140,19.4397952,51.7477620
141,19.4397079,51.7387683
142,19.4396206,51.7297745
143,19.4395334,51.7207806
144,19.4394462,51.7117868
145,19.4393591,51.7027930
146,19.4392720,51.6937991
147,19.4391849,51.6848052
148,19.4533793,51.8511418
149,19.4532890,51.8421482
150,19.4531987,51.8331546
151,19.4531084,51.8241609
152,19.4530182,51.8151673
153,19.4529281,51.8061736
154,19.4528379,51.7971799
155,19.4527479,51.7881862
156,19.4526579,51.7791925
157,19.4525679,51.7701988
158,19.4524780,51.7612051
159,19.4523881,51.7522113
160,19.4522983,51.7432175
161,19.4522085,51.7342238
162,19.4521187,51.7252300
163,19.4520290,51.7162362
164,19.4519394,51.7072423
165,19.4518498,51.6982485
166,19.4517602,51.6892547
167,19.4660025,51.8555895
168,19.4659096,51.8465959
169,19.4658167,51.8376023
170,19.4657240,51.8286086
171,19.4656312,51.8196150
172,19.4655385,51.8106214
173,19.4654459,51.8016277
174,19.4653533,51.7926340
175,19.4652608,51.7836403
176,19.4651683,51.7746466
177,19.4650759,51.7656529
178,19.4649835,51.7566592
179,19.4648911,51.7476655
180,19.4647988,51.7386717
181,19.4647066,51.7296779
182,19.4646144,51.7206842
183,19.4645222,51.7116904
184,19.4644301,51.7026965
185,19.4643380,51.6937027
186,19.4642460,51.6847089
187,19.4786281,51.8600357
188,19.4785327,51.8510422
189,19.4784373,51.8420486
190,19.4783420,51.8330550
191,19.4782467,51.8240614
192,19.4781515,51.8150678
193,19.4780564,51.8060741
194,19.4779612,51.7970805
195,19.4778662,51.7880868
196,19.4777712,51.7790931
197,19.4776762,51.7700995
198,19.4775813,51.7611057
199,19.4774864,51.7521120
200,19.4773916,51.7431183
201,19.4772968,51.7341245
202,19.4772021,51.7251308
203,19.4771075,51.7161370
204,19.4770128,51.7071432
205,19.4769183,51.6981494
206,19.4768238,51.6891556
207,19.4911582,51.8554871
208,19.4910603,51.8464936
209,19.4909625,51.8375000
210,19.4908647,51.8285064
211,19.4907670,51.8195128
212,19.4906693,51.8105192
213,19.4905716,51.8015256
214,19.4904741,51.7925319
215,19.4903765,51.7835383
216,19.4902790,51.7745446
217,19.4901816,51.7655509
218,19.4900842,51.7565572
219,19.4899869,51.7475635
220,19.4898896,51.7385698
221,19.4897924,51.7295761
222,19.4896952,51.7205823
223,19.4895981,51.7115885
224,19.4895010,51.7025948
225,19.5037863,51.8599307
226,19.5036858,51.8509372
227,19.5035855,51.8419436
228,19.5034851,51.8329501
229,19.5033849,51.8239565
230,19.5032847,51.8149629
231,19.5031845,51.8059693
232,19.5030844,51.7969757
233,19.5029843,51.7879821
234,19.5028843,51.7789884
235,19.5027844,51.7699948
236,19.5026845,51.7610011
237,19.5025846,51.7520074
238,19.5024848,51.7430137
239,19.5023851,51.7340200
240,19.5022854,51.7250263
241,19.5021857,51.7160325
242,19.5020862,51.7070388
243,19.5019866,51.6980450
244,19.5163138,51.8553794
245,19.5162109,51.8463859
246,19.5161081,51.8373924
247,19.5160053,51.8283988
248,19.5159025,51.8194052
249,19.5157998,51.8104117
250,19.5156972,51.8014181
251,19.5155946,51.7924245
252,19.5154921,51.7834308
253,19.5153896,51.7744372
254,19.5152872,51.7654436
255,19.5151848,51.7564499
256,19.5150825,51.7474562
257,19.5149802,51.7384625
258,19.5148780,51.7294688
259,19.5147759,51.7204751
260,19.5146738,51.7114814
261,19.5145717,51.7024876
262,19.5144697,51.6934939
263,19.5288389,51.8508268
264,19.5287335,51.8418333
265,19.5286282,51.8328398
266,19.5285229,51.8238462
267,19.5284177,51.8148527
268,19.5283125,51.8058591
269,19.5282074,51.7968655
270,19.5281023,51.7878719
271,19.5279973,51.7788783
272,19.5278924,51.7698847
273,19.5277875,51.7608911
274,19.5276827,51.7518974
275,19.5275779,51.7429037
276,19.5274732,51.7339101
277,19.5273685,51.7249164
278,19.5272639,51.7159227
279,19.5271593,51.7069289
280,19.5270548,51.6979352
281,19.5269503,51.6889415
282,19.5413614,51.8462728
283,19.5412535,51.8372793
284,19.5411457,51.8282858
285,19.5410379,51.8192923
286,19.5409303,51.8102988
287,19.5408226,51.8013052
288,19.5407150,51.7923116
289,19.5406075,51.7833180
290,19.5405000,51.7743245
291,19.5403926,51.7653308
292,19.5402853,51.7563372
293,19.5401780,51.7473436
294,19.5400707,51.7383499
295,19.5399635,51.7293563
296,19.5398564,51.7203626
297,19.5397493,51.7113689
298,19.5396423,51.7023752
299,19.5395353,51.6933814
300,19.5539917,51.8507110
301,19.5538813,51.8417176
302,19.5537710,51.8327241
303,19.5536607,51.8237306
304,19.5535505,51.8147371
305,19.5534403,51.8057435
306,19.5533302,51.7967500
307,19.5532202,51.7877564
308,19.5531102,51.7787628
309,19.5530002,51.7697693
310,19.5528904,51.7607757
311,19.5527805,51.7517821
312,19.5526708,51.7427884
313,19.5525611,51.7337948
314,19.5524514,51.7248011
315,19.5523418,51.7158075
316,19.5522323,51.7068138
317,19.5521228,51.6978201
318,19.5665116,51.8461544
319,19.5663988,51.8371609
320,19.5660605,51.8101805
321,19.5659479,51.8011870
