hex_id,population,single_par,income_idx,hh_single,hh_size,osiedle
0,6.94,13.5,3124.9,15.4,2.73,
1,1435.38,15.3934,3124.9,20.6498,2.7041,Bałuty Zachodnie
2,23.23,19.1998,3124.9,10.8007,2.95,
3,25.3,15.6,3124.9,25.8,2.73,
4,93.57,17.4235,3124.9,18.2021,2.8414,Bałuty Zachodnie
5,54.52,19.2,3124.9,10.8,2.95,Bałuty Zachodnie
6,20.11,19.2,3124.9,10.8,2.95,
7,16.61,15.3,3056.4,17.2,2.98,Bałuty Zachodnie
8,7.33,15.3,3056.4,17.2,2.98,
9,38.07,15.5866,3121.8336,25.415,2.7412,
10,93.06,15.7365,3124.9,25.2312,2.7383,Bałuty Zachodnie
11,89.87,19.2,3124.9,10.8,2.95,Bałuty Zachodnie
12,69.55,19.2,3124.9,10.8,2.95,Bałuty Zachodnie
13,16.14,12.5,3102.4,16.7,3.05,
14,12.77,12.5,3102.4,16.7,3.05,
15,10.17,14.5,3055.6002,16.5,3.03,
16,5.31,14.5,3055.6,16.5,3.03,
17,1.72,25.0,3020.4,5.9,3.74,
18,0.03,21.7,3020.4,10.5,3.68,
19,3.64,21.7,3020.4,10.5,3.68,Lublinek-Pienista
20,1.18,21.7,3020.4,10.5,3.68,
21,2.27,14.3,3056.4,10.3,3.0,
22,8.76,14.3,3056.4,10.3,3.0,
23,10.75,14.5629,3056.4,12.1139,2.9947,
24,57.43,15.3,3056.4,17.2,2.98,Bałuty Zachodnie
25,55.87,15.1657,3062.9132,18.0241,2.9713,Bałuty Zachodnie
26,144.72,17.5514,3068.5385,11.6794,3.196,Bałuty Zachodnie
27,150.46,18.9967,3064.9436,10.9604,3.1958,Bałuty Zachodnie
28,83.58,18.2368,3064.916,8.6984,3.2565,
29,8.04,12.5,3102.4,16.7,3.05,
30,60.38,12.5,3102.4,16.7,3.05,Złotno
31,40.36,12.5,3102.4,16.7,3.05,Złotno
32,60.64,13.0658,3089.1596,16.6434,3.0443,Złotno
33,84.83,14.5,3055.6,16.5,3.03,Złotno
34,1.18,14.5,3055.6,16.5,3.03,
35,8.22,25.0,3020.4,5.9,3.74,
36,29.74,25.0,3020.4,5.9,3.74,Lublinek-Pienista
37,9.68,22.0809,3020.4,9.9691,3.6869,Lublinek-Pienista
38,5.02,21.7,3020.4,10.5,3.68,Lublinek-Pienista
39,5.46,15.7695,3006.4399,12.2331,3.4129,
40,6.8,16.7,2991.5,9.7,3.63,
41,4.02,14.3,3056.4,10.3,3.0,
42,2.83,14.3,3056.4,10.3,3.0,
43,17.29,14.3,3056.4,10.3,3.0,Bałuty Zachodnie
44,21.53,14.3,3056.4,10.3,3.0,Bałuty Zachodnie
45,43.16,15.092,3056.4,15.7645,2.9842,Bałuty Zachodnie
46,58.64,15.2999,3056.4,17.2,2.98,Bałuty Zachodnie
47,128.41,13.5111,3056.4,17.3941,3.1513,Bałuty Zachodnie
48,171.88,23.4568,3056.4,19.4112,2.9624,Bałuty Zachodnie
49,157.24,17.5688,3056.4,12.6684,3.1872,Bałuty Zachodnie
50,129.37,16.5271,3056.4,10.8501,3.2456,Bałuty Zachodnie
51,0.59,16.611,3056.4,10.7194,3.2485,
52,7.52,25.6,3102.4,16.3,2.97,
53,60.13,16.5388,3102.4,16.5767,3.0253,Złotno
54,60.6,12.5,3102.4,16.7,3.05,Złotno
55,76.82,13.877,3070.1771,16.5623,3.0362,Złotno
56,87.26,14.4925,3055.7744,16.5007,3.0301,Złotno
57,64.82,14.6167,3055.6,16.379,3.0533,Złotno
58,0.0,17.2,3055.6,13.7,3.57,
59,37.38,25.0,3020.4,5.9,3.74,Lublinek-Pienista
60,23.77,24.0924,3020.4,7.1651,3.7235,Lublinek-Pienista
61,11.21,21.2808,3020.4,10.7528,3.651,Lublinek-Pienista
62,48.92,14.9474,3020.4,14.5714,3.2133,Lublinek-Pienista
63,21.69,16.112,3000.9413,11.3008,3.4928,Nad Nerem
64,16.22,16.7,2991.5,9.7,3.63,Nad Nerem
65,8.02,16.7,2991.5,9.7,3.63,
66,0.56,16.7,2991.5,9.7,3.63,
67,10.56,15.613,3056.4,9.6192,3.2966,
68,19.1,16.079,3056.4,9.3775,3.4019,Bałuty Zachodnie
