hex_id,population,single_par,income_idx,hh_single,hh_size,osiedle
135,9976.81,28.942,3051.5469,37.6356,2.1454,Bałuty-Centrum
136,6990.75,31.528,3045.1322,42.3168,2.0469,Bałuty-Centrum
137,9164.8,33.1617,3051.9396,35.6694,2.3262,Stare Polesie
138,8435.03,33.8181,3064.3383,39.917,2.1517,Stare Polesie
139,2853.51,21.2806,3095.9858,39.4883,2.0963,Stare Polesie
140,1168.95,26.39,3098.6323,39.2571,2.138,Stare Polesie
141,2601.7,28.0894,3039.8593,41.969,2.0913,Rokicie
142,3064.61,24.3001,3043.7003,33.1793,2.3632,Rokicie
143,2100.05,19.602,3058.6792,25.0326,2.5594,Rokicie
144,1992.69,28.3496,3034.1762,24.9706,2.7475,Ruda
145,1275.97,20.2226,3036.121,20.007,2.9429,Ruda
146,442.6,26.3753,3047.4286,21.3609,2.8682,Ruda
147,51.2,16.9241,3058.7,12.4912,3.3854,
148,43.08,18.0,2981.9,18.7,2.8,
149,129.64,21.9836,3030.3953,16.6611,3.0085,
150,226.08,18.7506,3049.1,15.1677,3.1158,Łagiewniki
151,875.68,23.2271,3029.5104,26.2523,2.4361,Łagiewniki
152,1709.45,20.2274,3052.4784,19.1041,2.7367,Julianów-Marysin-Rogi
153,1663.63,21.3819,3052.3187,21.8349,2.8989,Julianów-Marysin-Rogi
154,11758.55,26.8704,3046.9549,36.6991,2.159,Bałuty-Centrum
155,11504.43,37.7366,3031.0171,39.236,2.1746,Bałuty-Centrum
156,9688.91,34.5446,3047.5511,36.8433,2.2703,Bałuty-Doły
157,12312.1,33.5332,3044.913,33.982,2.4096,Katedralna
158,7056.83,32.6326,3066.929,40.3792,2.1652,Stare Polesie
159,3729.96,30.5396,3072.3969,37.1074,2.2234,Stare Polesie
160,2702.17,32.4416,3048.9417,40.8851,2.0784,Górniak
161,6728.85,28.9935,3045.0403,40.8323,2.0834,Rokicie
162,5119.69,26.3871,3036.6451,33.3908,2.3553,Piastów-Kurak
163,1213.9,23.875,3062.2014,24.3858,2.7229,Ruda
164,1516.14,21.4665,3033.7406,14.5749,3.122,Ruda
165,450.88,23.444,3034.4,14.5367,3.1432,Ruda
166,200.37,22.9781,3038.5338,21.0268,2.8703,Ruda
167,9.2,18.0,2981.9,18.7,2.8,
168,165.19,18.0011,2981.9,18.7063,2.8003,Łagiewniki
169,382.16,22.0776,3045.2433,14.0054,3.2006,Łagiewniki
170,86.23,17.3691,3044.1705,15.9753,3.2543,Łagiewniki
171,83.07,13.1614,2981.9,22.2205,3.0084,Łagiewniki
172,1275.01,19.3448,3024.5515,23.1853,2.9051,Julianów-Marysin-Rogi
173,4005.41,25.1451,3047.4978,26.6163,2.536,Julianów-Marysin-Rogi
174,8292.61,28.0827,3054.4513,34.4051,2.2397,Bałuty-Doły
175,7001.73,32.8337,3044.3644,40.3956,2.1528,Bałuty-Doły
176,9577.55,32.9353,3051.4182,36.5531,2.3289,Śródmieście-Wschód
177,6955.73,32.579,3064.6049,36.758,2.276,Katedralna
178,9002.33,30.2481,3078.1474,41.3606,2.1015,Katedralna
179,4861.7,32.801,3054.4509,39.6421,2.207,Górniak
180,5070.97,36.3118,3032.4882,40.2155,2.1591,Górniak
181,11762.14,27.7695,3028.9554,38.1659,2.1137,Piastów-Kurak
182,1592.19,21.5647,3013.1069,27.8563,2.5522,Chojny
183,953.27,23.7405,3053.8068,16.7078,2.9273,Chojny
184,644.49,20.2171,3077.828,12.7492,3.0373,Chojny
185,227.92,24.5992,3037.1236,18.3938,2.9882,Ruda
186,35.19,12.5,3034.4,15.4,3.19,
187,0.33,22.8244,2981.9,22.215,3.0068,
188,67.87,18.2411,2981.9,18.8825,2.8106,Łagiewniki
189,10.79,21.0903,2981.9,25.5689,3.1268,Łagiewniki
190,8.63,20.3587,2981.9,29.5552,3.2857,Łagiewniki
191,16.65,19.3337,2981.9,35.0528,3.0612,Łagiewniki
192,832.34,21.3028,3051.2303,22.6874,2.8436,Łagiewniki
193,1430.82,18.2116,3047.7662,20.4382,2.8546,Julianów-Marysin-Rogi
194,4588.38,22.3139,3064.918,32.3288,2.2379,Bałuty-Doły
195,5559.21,30.6133,3066.5618,45.2498,1.9566,Bałuty-Doły
196,5922.61,29.5603,3065.3364,44.0171,1.986,Śródmieście-Wschód
197,4265.89,28.5401,3063.7867,41.5609,2.0983,Śródmieście-Wschód
198,7266.63,34.5585,3048.4798,39.546,2.1848,Stary Widzew
199,2734.55,26.3037,3072.5031,38.8364,2.197,Stary Widzew
200,7934.19,32.6917,3049.117,37.4293,2.2016,Górniak
201,10276.58,28.2366,3030.7305,39.0689,2.1457,Chojny-Dąbrowa
202,4932.11,27.1907,3024.5039,31.3654,2.4498,Chojny
203,7280.37,21.4529,3033.6293,24.9452,2.4503,Chojny
204,2422.53,20.5677,3085.0307,22.1259,2.6102,Chojny
205,714.69,18.5153,3060.9527,23.1164,2.6092,Chojny
206,0.0,12.5,3034.4,15.4,3.19,
207,6.7,25.0,2981.9,23.8,3.1,Łagiewniki
208,7.42,25.0,2981.9,23.8,3.1,Łagiewniki
209,8.34,25.0,2981.9,23.8,3.1,Łagiewniki
210,18.72,17.1679,3030.2666,28.1114,2.8376,Łagiewniki
211,194.25,16.4464,3060.0485,21.3007,2.8982,Julianów-Marysin-Rogi
212,1008.39,17.425,3059.95,15.7783,3.0592,Julianów-Marysin-Rogi
213,1076.15,21.4905,3059.136,23.3073,2.7466,Julianów-Marysin-Rogi
214,1876.35,26.2569,3062.694,45.0019,1.9851,Bałuty-Doły
215,1855.44,29.1215,3069.1416,47.9057,1.9064,Bałuty-Doły
216,3312.84,23.5897,3081.1223,41.4636,2.1157,Śródmieście-Wschód
217,1375.09,25.9534,3065.4894,41.3699,2.0872,Stary Widzew
218,4725.65,26.3605,3054.7548,38.0833,2.156,Stary Widzew
219,10498.19,25.8231,3041.7607,39.8736,2.0804,Zarzew
220,12041.21,29.0079,3026.3915,38.5618,2.1132,Chojny-Dąbrowa
221,10258.11,29.0452,3035.5506,32.9683,2.3176,Chojny-Dąbrowa
222,8873.68,23.846,3024.1657,29.2458,2.333,Chojny
223,2738.69,23.526,3021.5613,26.1084,2.4894,Chojny
224,141.35,27.3662,3034.1,21.2292,3.1369,Chojny
225,2.52,25.0,2981.9,23.8,3.1,
226,43.12,18.2089,2980.7262,14.9129,3.3515,Łagiewniki
227,126.69,17.2146,2980.5404,13.4747,3.4081,Wzniesień Łódzkich
228,8.69,24.6666,2981.8424,23.3637,3.1123,Łagiewniki
229,58.83,13.7108,3057.0008,28.9932,2.6859,Łagiewniki
230,593.44,19.2747,3061.6976,18.1736,2.971,Julianów-Marysin-Rogi
231,255.78,18.4845,3057.4121,13.7665,3.1481,Dolina Łódki
232,256.26,20.389,3055.4613,19.1687,2.8141,Dolina Łódki
233,414.19,21.8877,3056.2852,20.4127,2.8894,Stoki-Sikawa-Podgórze
234,1108.83,12.5487,3081.9322,38.6637,2.1626,Stoki-Sikawa-Podgórze
235,1796.15,27.4355,3059.7067,44.6509,2.0259,Stoki-Sikawa-Podgórze
236,2389.24,30.6565,3055.849,42.0725,2.0236,Stary Widzew
237,2105.64,20.1314,3068.5899,31.0914,2.2946,Zarzew
238,9950.36,27.3749,3035.7659,39.6855,2.0804,Zarzew
239,12449.4,30.0297,3023.3428,38.6216,2.1245,Chojny-Dąbrowa
240,3619.66,20.9081,3043.8256,26.8449,2.4285,Chojny-Dąbrowa
241,1842.54,24.1641,3029.9215,22.9375,2.5612,Chojny
242,160.9,13.9401,3034.1,19.7312,3.5006,Chojny
243,54.34,18.4188,3034.1,19.2448,3.6421,Chojny
244,0.53,25.0,2981.9,23.8,3.1,
245,158.93,20.6778,2980.5046,11.8042,4.1589,Wzniesień Łódzkich
246,102.2,21.5697,2980.5375,10.714,3.6392,Wzniesień Łódzkich
247,93.94,15.8726,2984.0384,9.1043,3.1494,Wzniesień Łódzkich
248,185.04,16.4018,3051.0937,9.5114,3.5286,Dolina Łódki
249,184.02,16.9924,3051.8,10.3,3.4891,Dolina Łódki
250,155.47,14.9747,3051.8275,11.7012,3.322,Dolina Łódki
251,709.0,17.292,3058.6853,12.52,3.1012,Stoki-Sikawa-Podgórze
252,1154.64,18.0892,3031.4517,16.0245,3.0978,Stoki-Sikawa-Podgórze
253,802.68,24.7784,3072.9344,23.3261,2.7864,Stoki-Sikawa-Podgórze
254,2242.78,29.7609,3061.1793,37.6368,2.2538,Stary Widzew
255,2228.85,17.3614,3063.3136,25.6269,2.5272,Widzew-Wschód
256,1062.36,8.1095,3101.0666,20.049,2.5019,Zarzew
257,338.83,20.7236,3049.5357,16.0733,2.9141,Chojny-Dąbrowa
258,211.78,19.4002,3027.8639,12.5233,3.3437,Chojny-Dąbrowa
259,381.76,17.1358,3052.6743,16.6048,2.96,Chojny
260,162.47,21.2439,3024.0777,13.5507,3.3458,Chojny
261,173.32,19.1213,3007.0663,10.8552,3.459,Wiskitno
262,59.11,13.0802,2991.4565,5.6007,3.6708,Wiskitno
263,13.46,23.2767,2980.5,11.0755,3.9643,
264,148.98,24.5594,2980.5,10.8109,3.6365,Wzniesień Łódzkich
265,120.85,15.2227,2982.1751,10.1555,3.6376,Wzniesień Łódzkich
266,168.6,15.5839,3037.0385,9.8244,3.5838,Dolina Łódki
267,140.18,21.308,3051.8,13.5415,3.3825,Dolina Łódki
268,165.98,15.7347,3051.8,14.7038,3.2196,Dolina Łódki
269,705.5,17.457,3055.7105,14.3387,3.1431,Dolina Łódki
270,1220.44,16.9351,3050.0503,15.1763,3.1262,Stoki-Sikawa-Podgórze
271,2749.13,29.6514,3041.0312,29.5233,2.4586,Stoki-Sikawa-Podgórze
272,255.76,23.498,3066.1852,23.5131,2.9202,Mileszki
273,9962.07,23.8495,3033.2128,32.8449,2.2591,Widzew-Wschód
