hex_id,population,single_par,income_idx,hh_single,hh_size,osiedle
0,21.99,13.5,3124.9,15.4,2.73,
1,100.96,13.5851,3124.9,15.6288,2.7291,
2,709.29,15.5454,3124.9,19.8503,2.6757,Bałuty Zachodnie
3,0.33,19.2,3124.9,10.8,2.95,
4,434.69,16.2565,3124.9,23.0981,2.7044,Bałuty Zachodnie
5,173.15,13.82,3124.9,21.0956,2.8027,Bałuty Zachodnie
6,19.73,19.1998,3124.9,10.8008,2.95,Bałuty Zachodnie
7,1.53,19.2,3124.9,10.8,2.95,
8,1.41,15.6,3124.9,25.8,2.73,
9,24.43,15.6,3124.9,25.8,2.73,Bałuty Zachodnie
10,23.39,17.4293,3124.9,18.1779,2.8418,Bałuty Zachodnie
11,16.47,19.2,3124.9,10.8,2.95,Bałuty Zachodnie
12,3.01,19.2,3124.9,10.8,2.95,
13,5.92,19.2,3124.9,10.8,2.95,
14,1.6,19.2,3124.9,10.8,2.95,
15,15.72,15.6,3124.9,25.8,2.73,Bałuty Zachodnie
16,24.34,15.7437,3124.9,25.2014,2.7388,Bałuty Zachodnie
17,22.47,19.2,3124.9,10.8,2.95,Bałuty Zachodnie
18,22.05,19.2,3124.9,10.8,2.95,Bałuty Zachodnie
19,22.47,19.2,3124.9,10.8,2.95,Bałuty Zachodnie
20,17.06,19.2,3124.9,10.8,2.95,Bałuty Zachodnie
21,0.53,15.3,3056.4,17.2,2.98,
22,0.59,15.3,3056.4,17.2,2.98,
23,7.09,15.6,3124.9,25.8,2.73,
24,24.43,15.6,3124.9,25.8,2.73,Bałuty Zachodnie
25,23.21,17.7554,3124.9,16.8191,2.8617,Bałuty Zachodnie
26,22.47,19.2,3124.9,10.8,2.95,Bałuty Zachodnie
27,22.47,19.2,3124.9,10.8,2.95,Bałuty Zachodnie
28,22.47,19.2,3124.9,10.8,2.95,Bałuty Zachodnie
29,2.44,19.2,3124.9,10.8,2.95,
30,1.47,12.5,3102.4,16.7,3.05,
31,0.24,12.5,3102.4,16.7,3.05,
32,0.23,21.7,3020.4,10.5,3.68,
33,0.41,21.7,3020.4,10.5,3.68,
34,0.84,15.3,3056.4,17.2,2.98,
35,14.11,15.3,3056.4,17.2,2.98,Bałuty Zachodnie
36,8.26,15.3,3056.4,17.2,2.98,Bałuty Zachodnie
37,11.54,15.531,3109.15,23.8226,2.7875,Bałuty Zachodnie
38,23.18,15.6,3124.9,25.8,2.73,Bałuty Zachodnie
39,24.43,15.6,3124.9,25.8,2.73,Bałuty Zachodnie
40,24.24,15.9247,3124.9,24.4472,2.7498,Bałuty Zachodnie
41,22.47,19.2,3124.9,10.8,2.95,Bałuty Zachodnie
42,22.47,19.2,3124.9,10.8,2.95,Bałuty Zachodnie
43,21.2,19.2,3124.9,10.8,2.95,Bałuty Zachodnie
44,11.6,19.2,3124.9,10.8,2.95,Bałuty Zachodnie
45,1.17,12.5,3102.4,16.7,3.05,
46,13.07,12.5,3102.4,16.7,3.05,Złotno
47,12.06,12.5,3102.4,16.7,3.05,Złotno
48,1.43,14.1969,3062.6915,16.5303,3.033,
49,6.85,14.5,3055.6,16.5,3.03,
50,0.0,14.5,3055.6,16.5,3.03,Złotno
51,0.54,25.0,3020.4,5.9,3.74,
52,0.03,21.7,3020.4,10.5,3.68,
53,2.17,21.7,3020.4,10.5,3.68,Lublinek-Pienista
54,0.76,21.7,3020.4,10.5,3.68,
55,1.4,21.7,3020.4,10.5,3.68,Lublinek-Pienista
56,0.02,21.7,3020.4,10.5,3.68,
57,9.46,15.3,3056.4,17.2,2.98,Bałuty Zachodnie
58,14.66,15.3,3056.4,17.2,2.98,Bałuty Zachodnie
59,8.45,15.3,3056.4,17.2,2.98,Bałuty Zachodnie
60,10.91,15.3,3056.4,17.2,2.98,Bałuty Zachodnie
61,24.79,16.1144,3102.2631,21.0246,2.8831,Bałuty Zachodnie
62,32.42,17.1479,3082.4872,15.0265,3.0829,Bałuty Zachodnie
63,34.22,17.3968,3075.6673,13.2942,3.1397,Bałuty Zachodnie
64,33.62,18.0561,3075.1698,10.4963,3.183,Bałuty Zachodnie
65,30.5,18.5509,3084.4759,9.3837,3.1565,Bałuty Zachodnie
66,4.65,18.6553,3090.98,9.6116,3.1233,
67,0.23,19.2,3124.9,10.8,2.95,
68,13.06,12.5,3102.4,16.7,3.05,Złotno
69,15.15,12.5,3102.4,16.7,3.05,Złotno
70,7.48,12.5,3102.4,16.7,3.05,
71,4.78,12.5,3102.4,16.7,3.05,
72,9.08,12.5,3102.4,16.7,3.05,Złotno
73,13.13,12.5054,3102.2727,16.6995,3.0499,Złotno
74,21.71,14.4716,3056.2654,16.5028,3.0303,Złotno
75,21.85,14.5,3055.6,16.5,3.03,Złotno
76,6.28,14.5,3055.6,16.5,3.03,
77,7.92,25.0,3020.4,5.9,3.74,Lublinek-Pienista
78,5.07,25.0,3020.4,5.9,3.74,
79,0.1,21.7,3020.4,10.5,3.68,
80,2.38,21.7,3020.4,10.5,3.68,Lublinek-Pienista
81,2.77,21.7,3020.4,10.5,3.68,Lublinek-Pienista
82,2.45,21.7,3020.4,10.5,3.68,Lublinek-Pienista
83,0.07,21.7,3020.4,10.5,3.68,
84,0.11,16.7,2991.5,9.7,3.63,
85,2.72,14.3,3056.4,10.3,3.0,Bałuty Zachodnie
86,4.38,14.3,3056.4,10.3,3.0,Bałuty Zachodnie
87,4.25,14.3,3056.4,10.3,3.0,Bałuty Zachodnie
88,4.13,14.3,3056.4,10.3,3.0,Bałuty Zachodnie
89,5.24,14.6254,3056.4,12.5451,2.9935,Bałuty Zachodnie
90,14.66,15.3,3056.4,17.2,2.98,Bałuty Zachodnie
91,14.66,15.3,3056.4,17.2,2.98,Bałuty Zachodnie
92,14.66,15.3,3056.4,17.2,2.98,Bałuty Zachodnie
93,18.65,14.5199,3056.772,17.3478,3.0464,Bałuty Zachodnie
94,39.36,17.3602,3056.4,9.7739,3.2789,Bałuty Zachodnie
95,40.58,18.1,3056.4,8.4,3.3,Bałuty Zachodnie
96,41.77,19.8849,3056.4,11.3748,3.2039,Bałuty Zachodnie
97,40.79,18.4242,3056.4,8.9403,3.2825,Bałuty Zachodnie
98,40.58,18.1,3056.4,8.4,3.3,Bałuty Zachodnie
99,21.33,18.1,3056.4,8.4,3.3,
100,4.58,12.5,3102.4,16.7,3.05,
101,15.15,12.5,3102.4,16.7,3.05,Złotno
102,15.15,12.5,3102.4,16.7,3.05,Złotno
103,15.15,12.5,3102.4,16.7,3.05,Złotno
