id,lon,lat
0,19.3193270,51.8077365
1,19.3224762,51.8088522
2,19.3224602,51.8066037
3,19.3224281,51.8021068
4,19.3256094,51.8077193
5,19.3255932,51.8054708
6,19.3255770,51.8032224
7,19.3255608,51.8009739
8,19.3287588,51.8088348
9,19.3287424,51.8065863
10,19.3287261,51.8043379
11,19.3287097,51.8020894
12,19.3286934,51.7998410
13,19.3286770,51.7975925
14,19.3286607,51.7953441
15,19.3318918,51.8077017
16,19.3318753,51.8054533
17,19.3318588,51.8032048
18,19.3318423,51.8009564
19,19.3318258,51.7987079
20,19.3318093,51.7964595
21,19.3351247,51.8200593
22,19.3351080,51.8178108
23,19.3350413,51.8088170
24,19.3350247,51.8065686
25,19.3350080,51.8043201
26,19.3349913,51.8020717
27,19.3349747,51.7998232
28,19.3349580,51.7975748
29,19.3349413,51.7953263
30,19.3348414,51.7818356
31,19.3348248,51.7795871
32,19.3344758,51.7323693
33,19.3344592,51.7301208
34,19.3382752,51.8211745
35,19.3382583,51.8189261
36,19.3382415,51.8166776
37,19.3382078,51.8121807
38,19.3381910,51.8099323
39,19.3381742,51.8076838
40,19.3381574,51.8054354
41,19.3381405,51.8031869
42,19.3381237,51.8009385
43,19.3381069,51.7986900
44,19.3380901,51.7964416
45,19.3380060,51.7851993
46,19.3379892,51.7829508
47,19.3379724,51.7807024
48,19.3379053,51.7717085
49,19.3378885,51.7694601
50,19.3378717,51.7672116
51,19.3376536,51.7379815
52,19.3376201,51.7334845
53,19.3376034,51.7312361
54,19.3375866,51.7289876
55,19.3375699,51.7267391
56,19.3375531,51.7244906
57,19.3414088,51.8200412
58,19.3413918,51.8177928
59,19.3413748,51.8155443
60,19.3413578,51.8132959
61,19.3413409,51.8110474
62,19.3413239,51.8087990
63,19.3413069,51.8065505
64,19.3412899,51.8043021
65,19.3412729,51.8020536
66,19.3412560,51.7998052
67,19.3412390,51.7975567
68,19.3411372,51.7840660
69,19.3411202,51.7818175
70,19.3411033,51.7795691
71,19.3410863,51.7773206
72,19.3410694,51.7750722
73,19.3410524,51.7728237
74,19.3410355,51.7705752
75,19.3410185,51.7683268
76,19.3410016,51.7660783
77,19.3407985,51.7390967
78,19.3407815,51.7368482
79,19.3407646,51.7345997
80,19.3407477,51.7323512
81,19.3407308,51.7301028
82,19.3407139,51.7278543
83,19.3406970,51.7256058
84,19.3406463,51.7188604
85,19.3446281,51.8301500
86,19.3446109,51.8279016
87,19.3445938,51.8256532
88,19.3445766,51.8234047
89,19.3445594,51.8211563
90,19.3445423,51.8189078
91,19.3445251,51.8166594
92,19.3445080,51.8144109
93,19.3444909,51.8121625
94,19.3444737,51.8099140
95,19.3444566,51.8076656
96,19.3444394,51.8054172
97,19.3444223,51.8031687
98,19.3444052,51.8009203
99,19.3443880,51.7986718
100,19.3442853,51.7851811
101,19.3442682,51.7829326
102,19.3442511,51.7806842
103,19.3442340,51.7784357
104,19.3442169,51.7761872
105,19.3441997,51.7739388
106,19.3441826,51.7716903
107,19.3441655,51.7694419
108,19.3441484,51.7671934
109,19.3441313,51.7649449
110,19.3439434,51.7402118
111,19.3439264,51.7379633
112,19.3439093,51.7357148
113,19.3438922,51.7334664
114,19.3438752,51.7312179
115,19.3438581,51.7289694
116,19.3438069,51.7222240
117,19.3437899,51.7199755
118,19.3437728,51.7177270
119,19.3437558,51.7154785
120,19.3478314,51.8380103
121,19.3477795,51.8312650
122,19.3477622,51.8290166
123,19.3477448,51.8267681
124,19.3477275,51.8245197
125,19.3477102,51.8222712
126,19.3476929,51.8200228
127,19.3476756,51.8177744
128,19.3476583,51.8155259
129,19.3476410,51.8132775
130,19.3476237,51.8110290
131,19.3476064,51.8087806
132,19.3475891,51.8065321
133,19.3475718,51.8042837
134,19.3475545,51.8020352
135,19.3475372,51.7997868
136,19.3475200,51.7975383
137,19.3475027,51.7952899
138,19.3474163,51.7840476
139,19.3473990,51.7817992
140,19.3473818,51.7795507
141,19.3473645,51.7773022
142,19.3473472,51.7750538
143,19.3473300,51.7728053
144,19.3473127,51.7705569
145,19.3472955,51.7683084
146,19.3472782,51.7660599
147,19.3472609,51.7638115
148,19.3470885,51.7413268
149,19.3470713,51.7390783
150,19.3470541,51.7368298
151,19.3470369,51.7345814
152,19.3470197,51.7323329
153,19.3470024,51.7300844
154,19.3469852,51.7278359
155,19.3469680,51.7255875
156,19.3469508,51.7233390
157,19.3469336,51.7210905
158,19.3469164,51.7188420
159,19.3468992,51.7165935
160,19.3468820,51.7143451
161,19.3468648,51.7120966
162,19.3509835,51.8391252
163,19.3509660,51.8368768
164,19.3509485,51.8346283
165,19.3509311,51.8323799
166,19.3509136,51.8301314
167,19.3508961,51.8278830
168,19.3508786,51.8256346
169,19.3508612,51.8233861
170,19.3508437,51.8211377
171,19.3508262,51.8188892
172,19.3508088,51.8166408
173,19.3507913,51.8143924
174,19.3507739,51.8121439
175,19.3507564,51.8098955
176,19.3507390,51.8076470
177,19.3507215,51.8053986
178,19.3507041,51.8031501
179,19.3506866,51.8009017
180,19.3506692,51.7986532
