id,lon,lat
0,19.796348703971972,50.016665177608246
1,19.79627436737826,50.01216724695444
2,19.796200049553608,50.00766931271429
3,19.796125750491857,50.00317137488768
4,19.79605147018685,49.99867343347454
5,19.79597720863243,49.99417548847483
6,19.803331877227212,50.07284728122485
7,19.803256739551326,50.06834940200603
8,19.80318162086476,50.063851519200504
9,19.80250640617558,50.02337041253795
10,19.802431477039224,50.01887249386156
11,19.80235656682365,50.01437457159767
12,19.80228167552265,50.00987664574623
13,19.802206803130012,50.005378716307156
14,19.802131949639527,50.00088078328036
15,19.80205711504499,49.99638284666581
16,19.801982299340203,49.99188490646339
17,19.809497833972447,50.07955204083085
18,19.809422101643197,50.07505417365524
19,19.809346388455694,50.0705563028918
20,19.809270694403644,50.06605842854049
21,19.809195019480754,50.06156055060121
22,19.809119363680733,50.05706266907388
23,19.80889251095503,50.043569002963025
24,19.808816931583642,50.039071107082854
25,19.808590307993164,50.02557739791165
26,19.808514804950004,50.02107948767745
27,19.80843932097323,50.016581573854566
28,19.80836385605658,50.01208365644292
29,19.8082884101938,50.00758573544244
30,19.80821298337863,50.00308781085305
31,19.80813757560482,49.99858988267469
32,19.80806218686612,49.99409195090727
33,19.81558919069905,50.08175860162813
34,19.815512882572072,50.07726074296035
35,19.81543659373307,50.07276288070353
36,19.8153603241757,50.06826501485761
37,19.81528407389362,50.06376714542253
38,19.815207842880486,50.05926927239818
39,19.815055438635746,50.05027351558148
40,19.814979265391468,50.04577563178898
41,19.814903111390823,50.04127774440694
42,19.814826976627476,50.0367798534353
43,19.814750861095114,50.032281958873966
44,19.81459868769806,50.02328615898198
45,19.814522629820743,50.01878825365119
46,19.814446591149153,50.01429034473041
47,19.81437057167698,50.009792432219605
48,19.814294571397927,50.005294516118695
49,19.814218590305682,50.00079659642759
50,19.81414262839396,49.99629867314623
51,19.82168110407217,50.08396483917481
52,19.821604220007536,50.079466989066084
53,19.821527355377153,50.07496913536712
54,19.82145051017462,50.07047127807781
55,19.821373684393556,50.065973417198116
56,19.821296878027574,50.061475552727956
