hex_id,population,pop_20_29,income_index_pln,n_obwody
1046,3465.0,283.0,3026.311370851371,13
1047,3595.0,271.0,3022.761557719054,13
1048,2163.0,168.0,3020.0560332871014,6
1049,320.0,37.0,3037.7,1
1053,270.0,40.0,3019.7,1
1054,1368.0,202.0,3044.065350877193,7
1055,2548.0,280.0,2977.5187205651487,15
1056,4340.0,450.0,2963.2914746543784,17
1057,2312.0,243.0,3034.11794982699,18
1058,2060.0,191.0,3014.012524271845,14
1059,1456.0,189.0,3085.0,6
1060,578.0,90.0,3044.652595155709,2
1061,88.0,6.0,2990.2,1
1065,254.0,32.0,2969.6,1
1070,291.0,29.0,3029.7,1
1071,1117.0,164.0,3029.228737690242,4
1072,867.0,80.0,3032.622491349481,3
1078,21.0,3.0,3015.2,1
1081,1788.0,185.0,3005.85889261745,9
1082,2800.0,292.0,3010.421464285714,25
1083,2977.0,347.0,3011.940846489755,19
1084,1312.0,145.0,3029.613719512195,7
1085,288.0,47.0,3007.8,1
1086,202.0,24.0,2990.1999999999994,1
1088,273.0,28.0,2990.2,1
1091,246.0,23.0,2969.6,1
1093,117.0,14.0,3029.7,1
1095,144.0,14.0,3029.7,1
1096,516.0,54.0,3031.572868217054,2
1097,222.0,18.0,3037.6999999999994,1
1098,415.0,47.0,3037.7,2
1099,70.0,5.0,3037.7,1
1103,127.0,19.0,3015.2,1
1105,796.0,81.0,2990.8,2
1106,66.0,6.0,3004.2,1
1107,310.0,19.0,3016.6,1
1108,2558.0,255.0,2997.8426114151684,19
1109,4088.0,433.0,3003.7930283757346,26
1110,4774.0,520.0,3015.9620863007954,27
1111,1355.0,173.0,3010.3535055350553,6
1114,420.0,42.0,2993.0,1
1116,63.0,6.0,2969.6,1
1122,419.0,47.0,3013.0,2
1123,228.0,28.0,3013.0,2
1124,136.0,15.0,3013.0,1
1125,246.0,22.0,3013.0,1
1127,311.0,39.0,3015.2,1
1128,590.0,75.0,3015.2,2
1129,304.0,53.0,2990.8,1
1130,727.0,68.0,2975.7793672627236,3
1131,715.0,75.0,2990.8,3
1133,420.0,29.0,3028.512142857143,2
1134,2556.0,279.0,3030.501251956181,21
1135,4100.0,435.0,3008.2263170731703,22
1136,3519.0,390.0,3006.8762432509243,35
1137,1923.0,226.0,3000.469474778991,13
1139,803.0,82.0,2993.0,2
1142,321.0,36.0,2969.6,1
1146,477.0,134.0,3108.3,1
1147,530.0,77.0,3081.505471698113,2
1148,493.0,48.0,3013.0,2
1149,964.0,111.0,3008.8,2
1151,456.0,37.0,3013.0,1
1154,302.0,33.0,3032.9,1
1157,1989.0,217.0,2964.1868275515335,20
1158,308.0,29.0,2924.3000000000006,3
1159,380.0,28.0,3004.2,2
1160,373.0,47.0,3016.6,2
1161,855.0,93.0,3013.8622222222225,6
1162,2659.0,302.0,3016.295524633321,19
1163,1803.0,230.0,2995.4174154187467,14
1164,99.0,12.0,3002.9000000000005,1
1168,437.0,63.0,2969.6,1
1170,165.0,19.0,2969.6,1
1172,207.0,93.0,3108.3000000000006,1
1173,976.0,217.0,3091.8722336065575,4
1174,1290.0,169.0,3062.9240310077516,6
1176,493.0,48.0,3008.8,1
1183,1515.0,136.0,2963.7357095709567,10
1184,2623.0,283.0,2943.450324056424,17
1186,274.0,15.0,3004.2,1
1187,256.0,21.0,3004.2,1
1189,51.0,6.0,2993.0,1
1192,465.0,51.0,2993.0,1
1195,441.0,57.0,2953.5,1
1200,2514.0,229.0,3105.7011137629274,7
1202,229.0,27.0,3008.8,1
1203,322.0,32.0,3008.8,1
1206,501.0,40.0,3032.9,1
1208,1171.0,174.0,2966.2,3
1209,2373.0,240.0,2954.8941424357354,17
1211,116.0,11.0,2949.3,1
1216,164.0,21.0,2993.0,1
1220,372.0,54.0,2953.5,1
1222,57.0,5.0,2953.5,1
1224,373.0,125.0,3108.3,1
1226,469.0,54.0,3008.8,1
1227,217.0,23.0,3008.8000000000006,1
1228,65.0,6.0,3008.8,1
1234,688.0,80.0,2966.2,2
1235,315.0,26.0,2966.2,1
1241,30.0,3.0,2993.0,1
1243,228.0,17.0,2993.0,1
1257,485.0,48.0,2966.2,1
1258,416.0,51.0,2966.2,1
1266,77.0,11.0,2993.0,1
1270,260.0,39.0,2953.5,1
1272,144.0,21.0,2953.5,1
1278,532.0,63.0,2949.3,2
1286,32.0,2.0,2993.0,1
1294,201.0,16.0,2966.2,1
1296,260.0,34.0,2949.3,2
1307,147.0,14.0,2953.5,1
1318,2.0,0.0,2993.0,1
1322,0.0,0.0,,1
1329,362.0,33.0,2974.5,1
1332,159.0,12.0,2949.3,1
1350,342.0,33.0,2974.5,1
1358,47.0,8.0,2961.5,1
1360,87.0,8.0,2961.5,1
1362,86.0,3.0,2961.5,1
1365,304.0,37.0,2974.5,1
1374,69.0,7.0,2961.5,1
1375,35.0,1.0,2961.5,1
1384,297.0,39.0,2974.5,1
1386,306.0,32.0,2974.5,1
1387,258.0,36.0,2974.5,1
1392,79.0,4.0,2961.5,1
1400,506.0,56.0,2974.5,1
1409,22.0,3.0,2935.2,1
1411,203.0,22.0,2935.2,1
1413,187.0,21.0,2935.2000000000003,1
1417,436.0,54.0,2974.5,3
1428,133.0,20.0,2935.2,1
1440,75.0,8.0,2935.2,1
1441,102.0,15.0,2935.2,1
1449,99.0,11.0,2974.5,1
1451,83.0,5.0,2903.9,1
1459,164.0,19.0,2935.2,1
1463,190.0,30.0,2974.5,1
1467,97.0,9.0,2903.9,1
1469,95.0,17.0,2903.9,1
1472,234.0,26.0,2935.2,1
1486,123.0,17.0,2903.9,1
1488,81.0,9.0,2903.9,1
1508,134.0,17.0,2903.9,1
1511,260.0,19.0,2935.2,1
1517,146.0,12.0,2911.5,1
1519,116.0,17.0,2911.5,1
1523,91.0,10.0,2903.9,1
1525,121.0,16.0,2903.9,1
1526,257.0,28.0,2903.9,2
1540,198.0,18.0,2911.5,1
1541,312.0,35.0,2911.5,1
1548,361.0,53.0,2903.9,1
1557,206.0,29.0,2911.5,1
1562,70.0,11.0,2903.9,1
1568,399.0,52.0,2911.5,1
1571,324.0,45.0,2911.5,1
1576,125.0,21.0,2911.5,1
1577,149.0,11.0,2896.4,1
1590,121.0,10.0,2911.5,1
1597,330.0,48.0,2896.4,1
1599,245.0,27.0,2896.4,1
1618,356.0,33.0,2896.4,1
1620,293.0,36.0,2896.4,1
